dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
9.870332017825056e-7,9364.0,20151.0,29514.0,2.723647168,3601.05466182
1.2636174419114465e-6,9352.0,20124.0,29474.0,2.6935128,3600.967489951
1.1283284119152637e-6,9378.0,20180.0,29557.0,2.725724448,3601.094045296
8.248763399831827e-7,9436.0,20304.0,29737.0,2.739434016,3601.293509835
1.2135070943698756e-6,9476.0,20389.0,29862.0,2.73767592,3600.849733515
7.745067091523283e-7,9366.0,20152.0,29516.0,2.715727456,3600.896809978
8.302186308012383e-7,9358.0,20138.0,29494.0,2.713742128,3601.197792791
8.187550527040399e-7,9420.0,20271.0,29690.0,2.736892304,3601.07914484
1.0351386370843763e-6,9488.0,20416.0,29901.0,2.748638688,3600.821169779
1.3312315127848862e-6,9428.0,20288.0,29714.0,2.71188488,3600.99422909
