dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.1929160882674303e-6,226.0,484.0,226.0,170.330909664,915.308156126
1.1929160882674303e-6,226.0,486.0,227.0,170.330909664,915.453757957
1.1929160882674303e-6,226.0,484.0,226.0,170.330909664,916.628773085
1.1929160882674303e-6,226.0,486.0,227.0,170.330909664,915.655031533
1.2087173794314045e-6,226.0,484.0,226.0,169.044379024,910.268770051
1.1929160882674303e-6,226.0,486.0,227.0,170.330909664,913.38599185
1.1929160882674303e-6,226.0,486.0,227.0,170.330909664,916.169171794
1.2087173794314045e-6,226.0,484.0,226.0,169.044379024,910.577841381
1.2087173794314045e-6,225.0,483.0,226.0,169.044379024,910.113901069
1.2087173794314045e-6,226.0,484.0,226.0,169.044379024,910.2034076
