dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
2.4380901595885685e-6,3466.0,7458.0,3468.0,1.168479536,900.753942642
2.6125755498707104e-6,3362.0,7234.0,3364.0,1.154865872,900.692190337
2.190188185952069e-6,3400.0,7316.0,3402.0,1.162247552,900.618538106
2.8349224446347354e-6,3414.0,7346.0,3415.0,1.151952288,900.69183609
2.9433025854758155e-6,3442.0,7406.0,3443.0,1.141050672,900.988316888
3.091165497123155e-6,3486.0,7500.0,3487.0,1.154867888,900.836295871
3.0709757690462747e-6,3426.0,7372.0,3428.0,1.151127648,900.9308602
2.743835000797168e-6,3392.0,7297.0,3392.0,1.150613632,900.7026547
2.7872533997844173e-6,3474.0,7474.0,3475.0,1.16653336,900.836906698
3.0052623223378316e-6,3474.0,7476.0,3476.0,1.15586224,900.903504908
