dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
8.043838817597959e-8,100.0,18594.0,36388.0,1326.356581352,1170.352154695
7.819063847780416e-8,100.0,15220.0,33138.0,431.162754552,399.666869281
7.038335043257904e-8,100.0,10554.0,21966.0,538.129243304,446.969526872
7.832144542987973e-8,102.0,15052.0,31578.0,599.874740528,510.606385811
7.599442114133992e-8,100.0,12088.0,25910.0,338.705627168,288.793572625
7.984573138775097e-8,103.0,11040.0,23960.0,322.728900608,280.684294799
7.508178300613677e-8,103.0,12756.0,26862.0,470.05047596,403.657243731
7.28637924579667e-8,102.0,11204.0,23032.0,347.925916008,297.989396972
7.717166128004549e-8,102.0,13223.0,27179.0,637.314879104,545.639659851
7.735540252448714e-8,108.0,15030.0,29375.0,435.894668336,384.458571945
