dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
7.688998764573878e9,394.0,3047.0,1028.0,1792.880398408,901.455510117
7.690535863202716e9,394.0,3071.0,1035.0,1826.562702408,900.267803483
7.692437229229348e9,394.0,3116.0,1050.0,1866.981524872,900.460353836
7.687079353990561e9,394.0,3102.0,1045.0,1840.035668616,900.810785567
7.6899652398172865e9,394.0,3090.0,1041.0,1819.826279144,900.33311766
7.691302839924864e9,394.0,3062.0,1032.0,1806.353367336,900.099643191
7.688361294494942e9,394.0,3098.0,1044.0,1833.299182792,901.106041362
7.690135960678342e9,394.0,3120.0,1050.0,1860.245047208,900.935223315
7.689965330726587e9,394.0,3091.0,1042.0,1819.826265544,901.377904054
7.687268215241792e9,394.0,3088.0,1040.0,1836.667416184,901.007689262
