dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.4681469375182659e-6,571.0,1228.0,2365.0,10466.525721976,3621.156729446
1.4201821230638614e-6,516.0,1108.0,2134.0,10077.043947752,3614.492784721
1.370227186967602e-6,518.0,1113.0,2143.0,10149.322187256,3615.475012097
1.3705863005758699e-6,521.0,1120.0,2157.0,10212.738945128,3620.261283545
1.3705863005758699e-6,521.0,1120.0,2157.0,10212.738945128,3616.839839622
1.395805005931751e-6,524.0,1127.0,2170.0,10326.716020824,3620.696778574
1.441661464604298e-6,526.0,1132.0,2178.0,10405.42479468,3617.86947755
1.4569726095838935e-6,531.0,1142.0,2199.0,10426.687054088,3619.358041928
1.4569726095838935e-6,532.0,1143.0,2201.0,10426.687054088,3616.112073052
1.4117596016721224e-6,540.0,1162.0,2238.0,10791.646223048,3616.587805997
