dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.7862128382645226e-7,71118.0,153062.0,295292.0,5.996645704,1015.68187036
1.0933799752393947e-7,26519.0,57066.0,110098.0,5.976973592,993.173239283
1.3510837446745194e-7,26738.0,57538.0,111010.0,5.962325688,1030.341707432
2.1552649047407169e-7,26776.0,57617.0,111163.0,6.014985864,1045.2322142
1.6165683407870501e-7,25984.0,55914.0,107878.0,5.613457672,993.620365862
2.1552753504822109e-7,26820.0,57714.0,111350.0,6.015193224,1056.495278636
2.631907299599501e-7,26788.0,57644.0,111216.0,6.000291576,1068.575223
1.4055218498093547e-7,26669.0,57389.0,110722.0,5.972648792,1000.316183608
2.533943290194962e-7,25683.0,55266.0,106628.0,5.526031368,947.198655132
2.0004681605678698e-7,25794.0,55506.0,107088.0,5.588219832,935.428574199
