dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.012545801891418e-7,22103.0,47563.0,44204.0,5.532693592,866.468632053
1.2500384362346129e-7,20345.0,43780.0,40688.0,4.8114406,794.219907278
1.1553383937393247e-7,20390.0,43878.0,40779.0,4.738091784,880.675535637
1.2422147317378562e-7,21746.0,46794.0,43489.0,5.022294536,827.901085664
1.24084174785849e-7,20928.0,45033.0,41853.0,4.99733108,818.531801039
1.3554719935707227e-7,21073.0,45346.0,42144.0,4.976928376,739.441150594
1.3747475452463576e-7,20590.0,44306.0,41177.0,4.869898312,569.751507991
1.1152302726441521e-7,21574.0,46426.0,43147.0,5.300299304,871.54341648
2.1353276907429275e-7,18024.0,38785.0,36046.0,3.958575304,900.948544643
1.1569653020002124e-7,20175.0,43414.0,40348.0,4.741144696,614.47928685
