dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
8.161871507816887e-8,14.0,33.0,21.0,0.011263136,0.05000447
8.161871507209734e-8,14.0,33.0,21.0,0.011263136,0.052574921
8.161871507643415e-8,14.0,33.0,21.0,0.011263136,0.050373256
8.161871505908691e-8,14.0,33.0,21.0,0.011263136,0.055714317
8.161871506082163e-8,14.0,33.0,21.0,0.011263136,0.052117357
8.161871509378138e-8,14.0,33.0,21.0,0.011263136,0.0528073
8.161871508510776e-8,14.0,33.0,21.0,0.011263136,0.04997454
8.161871509204666e-8,14.0,33.0,21.0,0.011265696,0.052367341
8.161871507643415e-8,14.0,33.0,21.0,0.011263136,0.054571557
8.16187150660258e-8,14.0,33.0,21.0,0.011263136,0.049348833
