dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
6.348873627609421e7,590.0,5116.0,1789.0,2423.929865992,900.49550542
6.333958982299328e7,590.0,5138.0,1796.0,2448.974782728,900.141591817
6.3296768902674735e7,590.0,5162.0,1804.0,2451.757578152,900.192278749
6.3464900236092016e7,590.0,5139.0,1796.0,2435.060936168,900.67745249
6.2847729355683684e7,590.0,5180.0,1809.0,2462.888632008,900.436815541
6.3345345996531315e7,590.0,5168.0,1806.0,2448.974812648,900.879916796
6.363637834909477e7,590.0,5131.0,1794.0,2410.016065672,900.371406194
6.331836956651566e7,590.0,5158.0,1802.0,2446.192025384,900.711522632
6.330199578315818e7,590.0,5148.0,1799.0,2451.757531912,900.283522669
6.281917590829715e7,590.0,5164.0,1804.0,2465.671400232,900.088678056
