dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
8.625936537957694e-7,490.0,1784.0,652.0,3323.654131784,905.608557288
8.625936537957694e-7,454.0,1670.0,616.0,2947.873573768,904.62535401
8.625936537957694e-7,422.0,1573.0,584.0,2919.956999464,905.233300141
8.625936537957694e-7,427.0,1587.0,589.0,2927.019146472,904.454882885
8.625936537957694e-7,428.0,1588.0,590.0,2927.019946472,905.460422808
8.625936537957694e-7,428.0,1588.0,590.0,2927.019946472,904.575884131
8.625936537957694e-7,428.0,1590.0,590.0,2934.048382536,905.756602057
8.625936537957694e-7,429.0,1593.0,591.0,2940.888999848,906.221801766
8.625936537957694e-7,428.0,1588.0,590.0,2927.019946472,905.523082946
8.625936537957694e-7,426.0,1584.0,588.0,2919.956999464,904.540822815
