dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.0072519246798195e-7,73.0,1826.0,2130.0,60.277504112,60.626706573
6.495954588126018e-8,73.0,1700.0,1999.0,52.821518808,56.124531342
4.7966898796686364e-8,72.0,1624.0,1924.0,48.715739064,49.27686474
5.860961396764175e-8,74.0,1680.0,1959.0,52.13450036,57.083426819
4.139570788930236e-8,72.0,1648.0,1930.0,53.252199016,59.376260084
5.4728600495240753e-8,75.0,1887.0,2278.0,51.028706184,52.804501103
1.9923926537421255e-7,70.0,1629.0,1928.0,40.945959408,43.903731582
5.581093017945071e-8,71.0,1580.0,1888.0,48.755655352,47.81216636
5.129030039574545e-8,72.0,1603.0,1888.0,48.008966744,47.55956047
5.6286614119605005e-8,74.0,1806.0,2128.0,54.526972664,57.230833617
