dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
5.876628868597966e-8,66.0,68146.0,63347.0,0.139816632,620.081926298
6.272958121694705e-8,63.0,58986.0,54835.0,0.139898152,591.393532536
4.7688683238455987e-8,65.0,76387.0,71006.0,0.20242028,900.932117801
5.029283667648543e-8,66.0,86672.0,80564.0,0.141659992,734.692780344
6.176362057214169e-8,64.0,62358.0,57969.0,0.139583528,607.703165951
5.3348178926521106e-8,68.0,96047.0,89276.0,0.143681144,854.898036183
6.261926356956882e-8,66.0,90386.0,84016.0,0.141281128,741.603598631
5.192884582755353e-8,65.0,74058.0,68842.0,0.139163256,619.94212843
6.999135202662154e-8,66.0,78972.0,73409.0,0.140533896,654.252613635
4.93827155417792e-8,66.0,66396.0,61721.0,0.13907492,537.968315788
