dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.5279225024644738e-6,329.0,8384.0,3905.0,247.941648776,900.574184397
1.5496039739047382e-6,329.0,8415.0,3919.0,248.878409016,900.506448728
1.5462165657825072e-6,329.0,8410.0,3917.0,249.047588232,900.488907267
1.553524328269662e-6,329.0,8452.0,3936.0,249.878869656,900.484481643
1.5491755305171995e-6,329.0,8422.0,3922.0,248.934802088,900.565034004
1.5350402206753058e-6,329.0,8414.0,3919.0,248.716537128,900.518234253
1.5382351067896524e-6,329.0,8414.0,3918.0,248.329092952,900.598939785
1.548219036863821e-6,329.0,8444.0,3932.0,249.49142548,900.606138489
1.5491755305171995e-6,329.0,8426.0,3924.0,248.934802088,900.467836462
1.5462165657825072e-6,329.0,8424.0,3924.0,249.047588232,900.496510992
