dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
4.279428981755762e-5,111.0,158549.0,73684.0,407.967800472,900.02717062
3.3828099574903514e-5,112.0,195058.0,90650.0,531.253222328,900.028928042
3.0494307794018405e-5,112.0,226203.0,105122.0,576.045574392,900.028255219
3.011116965785654e-5,112.0,229204.0,106516.0,589.91504396,900.039611959
3.0099755542079e-5,112.0,235716.0,109542.0,578.062923768,900.02532442
3.10033942979987e-5,112.0,236712.0,110006.0,584.201830136,900.037903838
2.911519451190281e-5,112.0,234873.0,109151.0,588.1841078,900.024042104
2.971514681154863e-5,112.0,227576.0,105760.0,582.863621352,900.020759387
3.15884190111998e-5,112.0,220935.0,102674.0,545.796814088,900.024916818
3.044150342977614e-5,112.0,240890.0,111947.0,598.290233816,900.023919722
