dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
4.349146328544093e-5,380.0,68605.0,31879.0,31.39426024,900.055100422
4.2525248892394396e-5,380.0,68712.0,31928.0,31.406170448,900.04307059
4.389509632252847e-5,380.0,68690.0,31918.0,31.388305616,900.044494419
4.3021213079690035e-5,380.0,68705.0,31926.0,31.401101456,900.043572588
4.323143140067334e-5,380.0,68702.0,31924.0,31.398443184,900.040816056
4.312319514239438e-5,380.0,68703.0,31924.0,31.400215344,900.059787441
4.302074597537647e-5,380.0,68748.0,31946.0,31.430876176,900.051224364
4.401638900813909e-5,380.0,68682.0,31914.0,31.39071624,900.057256787
4.32093519550647e-5,380.0,68748.0,31946.0,31.453171344,900.034604044
4.4207303345374094e-5,380.0,68870.0,32002.0,31.482072096,900.05222404
