dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.3415650827629944e-7,79.0,814.0,378.0,3348.947604704,914.388999765
1.1294055746202227e-7,80.0,872.0,404.0,3397.48403548,913.960815614
1.3415650827629944e-7,80.0,871.0,404.0,3348.947604704,914.703267992
2.033607480841294e-7,80.0,815.0,378.0,3298.850224096,921.538602291
2.9370091621209486e-7,78.0,755.0,350.0,3201.861209816,913.607346789
2.9370091621209486e-7,77.0,753.0,349.0,3201.861209816,913.28208529
2.9370091621209486e-7,77.0,753.0,349.0,3201.861209816,912.536763099
2.9370091621209486e-7,77.0,753.0,349.0,3201.861209816,916.119894715
2.5950776879827506e-7,77.0,754.0,350.0,3207.539223248,913.688610669
2.062818802870717e-7,78.0,757.0,351.0,3256.902763272,927.539216536
