dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.1357348842017806e-5,99188.0,240638.0,333570.0,14.18388328,3600.116363894
1.1357348861949779e-5,73916.0,179972.0,248996.0,7.945063856,3600.16885653
1.1357348840519005e-5,101916.0,247574.0,343078.0,14.380906008,3600.109161945
1.1357348840560638e-5,95726.0,232068.0,321936.0,14.424765264,3600.12774634
1.1357348844370091e-5,91985.0,221998.0,308674.0,13.259161816,3600.15049103
1.135734884212189e-5,91914.0,224087.0,309847.0,13.874584184,3600.190491082
1.1357348852616966e-5,72408.0,174674.0,242978.0,10.520319288,3600.133587704
1.1357348853022892e-5,82586.0,202230.0,278920.0,10.518230656,3600.148316614
1.1357348838374887e-5,98746.0,238941.0,331661.0,15.476509952,3600.111117947
1.1357348817537388e-5,125380.0,308709.0,424568.0,22.304653704,3600.079674764
