dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
8.792111327177166e-8,600.0,1277.0,601.0,0.124760088,51.248304819
8.792111332034391e-8,600.0,1277.0,601.0,0.124790808,41.231007437
8.792111329605778e-8,600.0,1277.0,601.0,0.124760088,48.84973832
8.792111330993557e-8,600.0,1277.0,601.0,0.124803608,25.194402595
8.792111330993557e-8,600.0,1277.0,601.0,0.124726808,24.962005779
8.792111325789387e-8,600.0,1277.0,601.0,0.124775448,25.036234848
8.792111330299668e-8,600.0,1277.0,601.0,0.124767768,24.99675424
8.792111332381336e-8,600.0,1277.0,601.0,0.124752408,25.001309341
8.792111324748553e-8,600.0,1277.0,601.0,0.124752408,25.06677971
8.792111330299668e-8,600.0,1277.0,601.0,0.124818968,53.338945273
3.867167784
