dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
1.4634901385962096e-5,12104.0,26022.0,12104.0,930.066741192,900.124083654
1.4858063287757819e-5,12618.0,27126.0,12618.0,921.656053512,900.119656665
1.3937770688621318e-5,12516.0,26907.0,12516.0,1010.887160832,900.140452036
1.3609395767593107e-5,12324.0,26496.0,12324.0,1057.551119224,900.075469526
1.5197899048956156e-5,13946.0,29985.0,13946.0,927.447670696,900.087063193
1.3456971487296656e-5,12206.0,26240.0,12206.0,1046.521361048,900.11462779
1.551620774497978e-5,11074.0,23804.0,11074.0,883.073005,900.11023036
1.5349535304680145e-5,11140.0,23948.0,11140.0,886.17125476,900.108645719
1.5394581765450655e-5,11300.0,24292.0,11300.0,901.257356264,900.130803909
1.2064013965928889e-5,13416.0,28846.0,13416.0,1184.887176368,900.104007509
