dual_gaps,LMO_calls,grad_calls,obj_calls,memory,times
2.7701010317914693e-6,3852.0,8291.0,3852.0,226.155970632,900.548161501
2.6379521618040414e-6,3844.0,8274.0,3844.0,225.545078088,900.276142141
2.6905463106491334e-6,3841.0,8268.0,3841.0,225.442535368,900.259683784
2.6905463106491334e-6,3840.0,8266.0,3840.0,225.442535368,900.578877181
2.6495295167077923e-6,3842.0,8270.0,3842.0,225.596349448,900.430336528
2.6656684426239544e-6,3840.0,8266.0,3840.0,225.290903176,900.474350371
2.6379521618040414e-6,3842.0,8270.0,3842.0,225.545078088,900.251682993
2.6379521618040414e-6,3840.0,8266.0,3840.0,225.545078088,900.247036827
2.6379521618040414e-6,3842.0,8270.0,3842.0,225.545078088,900.429925875
2.6379521618040414e-6,3842.0,8268.0,3842.0,225.545078088,900.337324948
